Threshold,Morph_Kernel,Close_Iter,Open_Iter,Avg_Loss,Success_Rate,Successful,Good_Detections,Good_Rate
40,9,4,1,64.19374,0.825,330,278,0.695
40,9,4,2,119.04014,0.43,172,94,0.235
40,9,4,3,232.39659,0.27,108,12,0.03
40,9,4,4,266.27295,0.245,98,2,0.005
50,3,1,1,16.113714,0.83,332,320,0.8
50,3,1,2,13.982034,0.83,332,323,0.8075
50,3,1,3,19.536047,0.8425,337,324,0.81
50,3,1,4,24.508398,0.8225,329,314,0.785
50,3,2,1,19.642931,0.83,332,314,0.785
50,3,2,2,19.196371,0.83,332,315,0.7875
50,3,2,3,17.911964,0.83,332,317,0.7925
50,3,2,4,16.991198,0.805,322,309,0.7725
50,3,3,1,20.772001,0.83,332,309,0.7725
50,3,3,2,20.478287,0.83,332,312,0.78
50,3,3,3,20.123772,0.83,332,313,0.7825
50,3,3,4,19.171598,0.805,322,305,0.7625
50,3,4,1,23.502172,0.8325,333,308,0.77
50,3,4,2,21.555834,0.83,332,309,0.7725
50,3,4,3,20.89703,0.83,332,311,0.7775
50,3,4,4,21.168669,0.8075,323,302,0.755
50,5,1,1,17.969324,0.83,332,317,0.7925
50,5,1,2,14.925705,0.785,314,304,0.76
50,5,1,3,21.692747,0.59,236,225,0.5625
50,5,1,4,43.904896,0.34,136,119,0.2975
50,5,2,1,20.16784,0.83,332,314,0.785
50,5,2,2,20.56161,0.7875,315,297,0.7425
50,5,2,3,23.344658,0.585,234,217,0.5425
50,5,2,4,33.78313,0.37,148,129,0.3225
50,5,3,1,33.570793,0.835,334,307,0.7675
50,5,3,2,34.158836,0.7975,319,292,0.73
50,5,3,3,48.905518,0.6225,249,217,0.5425
50,5,3,4,90.198105,0.4475,179,135,0.3375
50,5,4,1,36.531017,0.835,334,303,0.7575
50,5,4,2,37.10578,0.7975,319,290,0.725
50,5,4,3,49.784805,0.6325,253,217,0.5425
50,5,4,4,85.36641,0.475,190,139,0.3475
50,7,1,1,18.131454,0.83,332,318,0.795
50,7,1,2,24.122347,0.5725,229,215,0.5375
50,7,1,3,81.148636,0.225,90,67,0.1675
50,7,1,4,267.36392,0.135,54,6,0.015
50,7,2,1,21.454597,0.83,332,313,0.7825
50,7,2,2,28.381172,0.58,232,211,0.5275
50,7,2,3,65.11881,0.2725,109,79,0.1975
50,7,2,4,181.37643,0.17,68,15,0.0375
50,7,3,1,35.12092,0.835,334,305,0.7625
50,7,3,2,49.170536,0.62,248,211,0.5275
50,7,3,3,134.54407,0.38,152,87,0.2175
50,7,3,4,144.06386,0.215,86,21,0.0525
50,7,4,1,39.172874,0.835,334,301,0.7525
50,7,4,2,50.586704,0.6325,253,211,0.5275
50,7,4,3,116.010864,0.4125,165,97,0.2425
50,7,4,4,215.58752,0.335,134,24,0.06
50,9,1,1,19.765009,0.745,298,284,0.71
50,9,1,2,44.802032,0.3225,129,107,0.2675
50,9,1,3,254.21074,0.135,54,8,0.02
50,9,1,4,312.2983,0.14,56,0,0
50,9,2,1,24.151772,0.75,300,279,0.6975
50,9,2,2,50.36358,0.375,150,112,0.28
50,9,2,3,187.22809,0.1875,75,12,0.03
